%------------ Rayleigh Benard grid32 full label results
% Ra, delta, label, KE(end), VTY(end), flag
1380,0.001,0,0.000102039,0.000652439,0
1380,0.01,0,0.0010135,0.0064809,0
1385,1e-16,0,8.41754e-16,7.02835e-15,0
1385,1e-12,0,1.06078e-13,6.77985e-13,0
1385,1e-08,0,1.06133e-09,6.78347e-09,0
1385,1e-05,0,1.06138e-06,6.78381e-06,0
1385,0.0001,0,1.06136e-05,6.78369e-05,0
1385,0.001,0,0.000106127,0.000678309,0
1385,0.01,0,0.00105317,0.00673193,0
1390,1e-16,0,2.40141e-16,2.10005e-15,0
1390,1e-12,0,1.12658e-13,7.19638e-13,0
1390,1e-08,0,1.10552e-09,7.06319e-09,0
1390,1e-05,0,1.10551e-06,7.06312e-06,0
1390,0.0001,0,1.10556e-05,7.06341e-05,0
1390,0.001,0,0.000110544,0.00070627,0
1390,0.01,0,0.00109587,0.00700218,0
1395,1e-16,0,1.35832e-15,8.62982e-15,0
1395,1e-12,0,1.15396e-13,7.3689e-13,0
1395,1e-08,0,1.15343e-09,7.36641e-09,0
1395,1e-05,0,1.15342e-06,7.36639e-06,0
1395,0.0001,0,1.15344e-05,7.3665e-05,0
1395,0.001,0,0.000115333,0.000736582,0
1395,0.01,0,0.00114194,0.00729384,0
1400,1e-16,0,8.17185e-15,5.18267e-14,0
1400,1e-12,0,1.14301e-13,7.30095e-13,0
1400,1e-08,0,1.20555e-09,7.69639e-09,0
1400,1e-05,0,1.20554e-06,7.69632e-06,0
1400,0.0001,0,1.20555e-05,7.69642e-05,0
1400,0.001,0,0.000120542,0.000769559,0
1400,0.01,0,0.00119179,0.00760939,0
1405,1e-16,0,7.22524e-15,4.58357e-14,0
1405,1e-12,0,1.4633e-13,9.328e-13,0
1405,1e-08,0,1.26241e-09,8.0564e-09,0
1405,1e-05,0,1.26243e-06,8.05652e-06,0
1405,0.0001,0,1.26248e-05,8.05682e-05,0
1405,0.001,0,0.000126229,0.000805563,0
1405,0.01,0,0.00124585,0.0079517,0
1410,1e-16,0,1.47927e-15,1.02408e-14,0
1410,1e-12,0,5.25095e-14,3.401e-13,0
1410,1e-08,0,1.32486e-09,8.45184e-09,0
1410,1e-05,0,1.3248e-06,8.45143e-06,0
1410,0.0001,0,1.32481e-05,8.45154e-05,0
1410,0.001,0,0.000132462,0.000845029,0
1410,0.01,0,0.00130466,0.00832406,0
1415,1e-16,0,3.36415e-14,2.13311e-13,0
1415,1e-12,0,6.17478e-13,3.91911e-12,0
1415,1e-08,0,1.39334e-09,8.88547e-09,0
1415,1e-05,0,1.39343e-06,8.88607e-06,0
1415,0.0001,0,1.39277e-05,8.88187e-05,0
1415,0.001,0,0.000139322,0.000888476,0
1415,0.01,0,0.0013688,0.00873026,0
1420,1e-16,0,1.86571e-13,1.18293e-12,0
1420,1e-12,0,6.84083e-13,4.33378e-12,0
1420,1e-08,0,1.46906e-09,9.36504e-09,0
1420,1e-05,0,1.46937e-06,9.36705e-06,0
1420,0.0001,0,1.46942e-05,9.36733e-05,0
1420,0.001,0,0.000146911,0.000936538,0
1420,0.01,0,0.00143896,0.00917465,0
1425,1e-16,0,5.68399e-13,3.60388e-12,0
1425,1e-12,0,2.46341e-12,1.56227e-11,0
1425,1e-08,0,1.55746e-09,9.92499e-09,0
1425,1e-05,0,1.55383e-06,9.90197e-06,0
1425,0.0001,0,1.55388e-05,9.90233e-05,0
1425,0.001,0,0.000155349,0.000989985,0
1425,0.01,0,0.00151594,0.00966227,0
1430,1e-16,0,2.92264e-12,1.85305e-11,0
1430,1e-12,0,4.61811e-12,2.92766e-11,0
1430,1e-08,0,1.63388e-09,1.04091e-08,0
1430,1e-05,0,1.64831e-06,1.05005e-05,0
1430,0.0001,0,1.64838e-05,0.000105009,0
1430,0.001,0,0.000164787,0.00104977,0
1430,0.01,0,0.00160065,0.0101989,0
1435,1e-16,0,4.55854e-10,2.89027e-09,1
1435,1e-12,0,7.72558e-12,4.89867e-11,0
1435,1e-08,0,1.79914e-09,1.1456e-08,0
1435,1e-05,0,1.75473e-06,1.11746e-05,0
1435,0.0001,0,1.75479e-05,0.00011175,0
1435,0.001,0,0.000175413,0.00111709,0
1435,0.01,0,0.00169411,0.010791,0
1440,1e-16,0,7.00211e-10,4.43957e-09,1
1440,1e-12,0,7.3604e-12,4.66636e-11,0
1440,1e-08,0,1.79457e-09,1.14272e-08,0
1440,1e-05,0,1.87542e-06,1.19393e-05,0
1440,0.0001,0,1.87552e-05,0.0001194,0
1440,0.001,0,0.000187466,0.00119345,0
1440,0.01,0,0.0017975,0.0114461,0
1445,1e-16,0,1.51832e-11,9.62665e-11,0
1445,1e-12,0,5.53534e-12,3.50921e-11,0
1445,1e-08,0,2.05614e-09,1.30844e-08,0
1445,1e-05,0,2.01377e-06,1.28159e-05,0
1445,0.0001,0,2.01382e-05,0.000128163,0
1445,0.001,0,0.000201251,0.0012808,0
1445,0.01,0,0.00191213,0.0121725,0
1450,1e-16,0,2.26337e-08,1.43505e-07,1
1450,1e-12,0,1.95744e-11,1.24112e-10,0
1450,1e-08,0,2.38206e-09,1.51497e-08,0
1450,1e-05,0,2.17343e-06,1.38277e-05,0
1450,0.0001,0,2.17331e-05,0.000138269,0
1450,0.001,0,0.00021717,0.00138167,0
1450,0.01,0,0.00203941,0.0129791,0
1455,1e-16,0,4.54711e-11,2.88302e-10,0
1455,1e-12,0,5.1605e-11,3.27197e-10,0
1455,1e-08,0,1.53302e-09,9.77108e-09,0
1455,1e-05,0,2.35241e-06,1.49619e-05,0
1455,0.0001,0,2.35962e-05,0.000150076,0
1455,0.001,0,0.000235752,0.00149943,0
1455,0.01,0,0.00218085,0.0138755,0
1460,1e-16,0,1.20649e-10,7.64958e-10,0
1460,1e-12,0,3.01282e-10,1.91023e-09,0
1460,1e-08,0,2.63675e-09,1.6764e-08,0
1460,1e-05,0,2.57679e-06,1.6384e-05,0
1460,0.0001,0,2.5804e-05,0.000164069,0
1460,0.001,0,0.000257732,0.00163873,0
1460,0.01,0,0.00233795,0.0148712,0
1465,1e-16,0,2.35896e-09,1.49566e-08,0
1465,1e-12,0,1.01265e-09,6.42052e-09,0
1465,1e-08,0,9.57236e-09,6.07328e-08,0
1465,1e-05,0,2.86429e-06,1.82062e-05,0
1465,0.0001,0,2.84798e-05,0.000181028,0
1465,0.001,0,0.000284126,0.00180602,0
1465,0.01,0,0.00251206,0.0159749,0
1470,1e-16,0,7.03829e-10,4.46251e-09,0
1470,1e-12,0,3.75009e-09,2.37768e-08,0
1470,1e-08,0,1.22597e-08,7.77709e-08,0
1470,1e-05,0,3.16721e-06,2.01263e-05,0
1470,0.0001,0,3.17705e-05,0.000201886,0
1470,0.001,0,0.000316378,0.00201045,0
1470,0.01,0,0.00270427,0.0171934,0
1475,1e-16,0,2.97107e-08,1.88376e-07,0
1475,1e-12,0,3.31854e-08,2.10407e-07,0
1475,1e-08,0,9.51828e-09,6.03901e-08,0
1475,1e-05,0,3.53033e-06,2.24281e-05,0
1475,0.0001,0,3.57877e-05,0.000227351,0
1475,0.001,0,0.000356655,0.00226577,0
1475,0.01,0,0.00291512,0.0185302,0
1480,1e-16,0,1.13111e-07,7.1716e-07,0
1480,1e-12,0,9.47138e-08,6.00518e-07,0
1480,1e-08,0,5.25317e-08,3.3303e-07,0
1480,1e-05,0,3.97053e-06,2.52186e-05,0
1480,0.0001,0,4.10444e-05,0.000260674,0
1480,0.001,0,0.000408254,0.00259286,0
1480,0.01,1,0.00314445,0.0199843,0
1485,1e-16,0,4.6492e-07,2.94775e-06,1
1485,1e-12,0,1.13188e-07,7.17648e-07,0
1485,1e-08,0,8.80197e-08,5.58036e-07,0
1485,1e-05,0,4.40185e-06,2.79529e-05,0
1485,0.0001,0,4.77335e-05,0.00030308,0
1485,0.001,0,0.000476753,0.00302711,0
1485,0.01,1,0.00339119,0.0215489,0
1490,1e-16,0,5.56873e-07,3.53076e-06,0
1490,1e-12,0,4.37557e-07,2.77426e-06,0
1490,1e-08,0,1.35477e-06,8.58973e-06,0
1490,1e-05,0,4.40641e-06,2.79819e-05,0
1490,0.0001,0,5.73163e-05,0.000363832,0
1490,0.001,0,0.000570844,0.00362363,0
1490,0.01,1,0.00365338,0.0232117,0
1495,1e-16,0,1.75469e-06,1.11253e-05,0
1495,1e-12,0,1.70129e-06,1.07868e-05,0
1495,1e-08,0,5.17628e-06,3.28194e-05,0
1495,1e-05,0,1.35917e-05,8.62166e-05,0
1495,0.0001,0,7.42385e-05,0.000471117,0
1495,0.001,0,0.000708403,0.00449575,0
1495,0.01,1,0.00392833,0.0249555,0
1500,1e-16,0,2.65449e-06,1.68303e-05,0
1500,1e-12,0,3.45968e-06,2.19355e-05,0
