%------------ Wubs stretched grid32 label results
2.81e+09,0.71,1,0.000507822,0.0467792,0
2.81e+09,7.1,1,4.68451e-05,0.0338952,0
2.81e+09,71,0,4.77335e-06,0.000478417,0
2.81e+09,250,0,1.35775e-06,1.06652e-05,0
2.81e+09,1000,0,3.39602e-07,0.000165704,0
2.82e+09,0.71,1,0.000508992,0.0465772,0
2.82e+09,7.1,1,4.67035e-05,0.025968,0
2.82e+09,71,0,4.7682e-06,0.000497926,0
2.82e+09,250,0,1.35628e-06,0.000210529,0
2.82e+09,1000,0,3.39238e-07,0.000234371,0
2.83e+09,0.71,1,0.000505351,0.0422463,0
2.83e+09,7.1,1,4.67108e-05,0.0265735,0
2.83e+09,71,0,4.76282e-06,0.000307228,0
2.83e+09,250,0,1.35482e-06,0.000179427,0
2.83e+09,1000,0,3.38876e-07,0.000177155,0
2.84e+09,0.71,1,0.000508083,0.0275138,0
2.84e+09,7.1,1,4.66586e-05,0.0305248,0
2.84e+09,71,0,4.75769e-06,0.000498408,0
2.84e+09,250,0,1.35336e-06,1.09904e-05,0
2.84e+09,1000,0,3.38519e-07,0.000244452,0
2.85e+09,0.71,1,0.000330107,0.470286,0
2.85e+09,7.1,1,4.66647e-05,0.0345114,0
2.85e+09,71,1,4.75276e-06,0.000599684,0
2.85e+09,250,0,1.35192e-06,0.000134846,0
2.85e+09,1000,0,3.38165e-07,0.000161575,0
2.86e+09,0.71,1,0.000507372,0.0350444,0
2.86e+09,7.1,1,4.66134e-05,0.042572,0
2.86e+09,71,1,4.74772e-06,0.000722163,0
2.86e+09,250,0,1.35048e-06,0.000189936,0
2.86e+09,1000,0,3.37821e-07,0.00010008,0
2.87e+09,0.71,1,0.000504954,0.0531332,0
2.87e+09,7.1,1,4.66361e-05,0.0369866,0
2.87e+09,71,1,4.74267e-06,0.000817151,0
2.87e+09,250,0,1.34905e-06,0.000207334,0
2.87e+09,1000,0,3.3749e-07,0.000156181,0
2.88e+09,0.71,1,0.000505198,0.0491406,0
2.88e+09,7.1,1,4.65448e-05,0.0392689,0
2.88e+09,71,1,4.73735e-06,0.000263227,0
2.88e+09,250,0,1.34762e-06,0.000132558,0
2.88e+09,1000,1,3.37184e-07,0.000811577,0
2.89e+09,0.71,1,0.000504652,0.0543934,0
2.89e+09,7.1,1,4.64498e-05,0.0384623,0
2.89e+09,71,1,4.73233e-06,0.00113836,0
2.89e+09,250,0,1.3462e-06,0.000195566,0
2.89e+09,1000,1,3.36943e-07,0.00188774,0
3e+09,0.71,1,0.00050383,0.0647244,0
3e+09,7.1,1,4.59667e-05,0.0589121,0
3e+09,71,1,4.67887e-06,0.00116331,0
3e+09,250,1,1.33364e-06,0.0047808,0
3e+09,1000,1,3.34386e-07,0.0105704,0
2.91e+09,0.71,1,0.000504417,0.0555156,0
2.91e+09,7.1,1,4.6348e-05,0.0376069,0
2.91e+09,71,1,4.7226e-06,0.000660601,0
2.91e+09,250,0,1.34341e-06,3.38112e-05,0
2.91e+09,1000,1,3.36476e-07,0.00339306,0
2.94e+09,0.71,1,0.000504099,0.0550166,0
2.94e+09,7.1,1,4.63542e-05,0.0392139,0
2.94e+09,71,1,4.70792e-06,0.00277692,0
2.94e+09,250,0,1.33942e-06,0.000114744,0
2.94e+09,1000,1,3.35764e-07,0.00509475,0
2.97e+09,0.71,1,0.000506216,0.060141,0
2.97e+09,7.1,1,4.61233e-05,0.0320619,0
2.97e+09,71,1,4.69336e-06,0.00334955,0
2.97e+09,250,1,1.33632e-06,0.00232387,0
2.97e+09,1000,1,3.35097e-07,0.00750341,0
3.03e+09,0.71,1,0.00050409,0.0594845,0
3.03e+09,7.1,1,4.60323e-05,0.0335334,0
3.03e+09,71,1,4.66427e-06,0.00123555,0
3.03e+09,250,1,1.33103e-06,0.00622306,0
