%------------ channel flow grid5 label dataX
170,1e-05,0,60,60,0
180,1e-05,0,63,63,0
190,1e-05,0,67,67,0
200,1e-05,0,71,71,0
210,1e-05,0,74,74,0
220,1e-05,1,73,82,0
230,1e-05,1,57,100,0
170,1.58489e-05,0,60,60,0
180,1.58489e-05,0,63,63,0
190,1.58489e-05,0,67,67,0
200,1.58489e-05,0,71,71,0
210,1.58489e-05,0,74,74,0
220,1.58489e-05,1,73,82,0
230,1.58489e-05,1,57,100,0
170,2.51189e-05,0,60,60,0
180,2.51189e-05,0,63,63,0
190,2.51189e-05,0,67,67,0
200,2.51189e-05,0,71,71,0
210,2.51189e-05,0,74,74,0
220,2.51189e-05,1,73,83,0
230,2.51189e-05,1,57,100,0
170,3.98107e-05,0,60,60,0
180,3.98107e-05,0,63,63,0
190,3.98107e-05,0,67,67,0
200,3.98107e-05,0,71,71,0
210,3.98107e-05,0,74,74,0
220,3.98107e-05,1,72,83,0
230,3.98107e-05,1,57,100,0
170,6.30957e-05,0,60,60,0
180,6.30957e-05,0,63,63,0
190,6.30957e-05,0,67,67,0
200,6.30957e-05,0,71,71,0
210,6.30957e-05,0,74,75,0
220,6.30957e-05,1,72,83,0
230,6.30957e-05,1,57,100,0
170,0.0001,0,60,60,0
180,0.0001,0,63,63,0
190,0.0001,0,67,67,0
200,0.0001,0,71,71,0
210,0.0001,0,74,75,0
220,0.0001,1,71,84,0
230,0.0001,1,57,100,0
170,0.000158489,0,60,60,0
180,0.000158489,0,63,63,0
190,0.000158489,0,67,67,0
200,0.000158489,0,70,71,0
210,0.000158489,0,74,75,0
220,0.000158489,1,70,85,0
230,0.000158489,1,57,100,0
170,0.000251189,0,60,60,0
180,0.000251189,0,63,64,0
190,0.000251189,0,67,67,0
200,0.000251189,0,70,71,0
210,0.000251189,0,74,75,0
220,0.000251189,1,69,86,0
230,0.000251189,1,57,100,0
170,0.000398107,0,60,60,0
180,0.000398107,0,63,64,0
190,0.000398107,0,67,67,0
200,0.000398107,0,70,71,0
210,0.000398107,1,73,75,0
220,0.000398107,1,68,87,0
230,0.000398107,1,57,100,0
170,0.000630957,0,60,60,0
180,0.000630957,0,63,64,0
190,0.000630957,0,67,68,0
200,0.000630957,1,70,72,0
210,0.000630957,1,72,76,0
220,0.000630957,1,67,88,0
230,0.000630957,1,56,100,0
170,0.001,0,59,60,0
180,0.001,0,63,64,0
190,0.001,1,66,68,0
200,0.001,1,69,72,0
210,0.001,1,71,77,0
220,0.001,1,65,89,0
230,0.001,1,56,101,0
170,0.00158489,0,59,60,0
180,0.00158489,0,63,64,0
190,0.00158489,1,66,68,0
200,0.00158489,1,69,73,0
210,0.00158489,1,70,79,0
220,0.00158489,1,63,90,0
230,0.00158489,1,55,101,0
170,0.00251189,1,59,61,0
180,0.00251189,1,62,65,0
190,0.00251189,1,65,69,0
200,0.00251189,1,67,74,0
210,0.00251189,1,67,81,0
220,0.00251189,1,61,92,0
230,0.00251189,1,55,102,0
170,0.00398107,1,58,61,0
180,0.00398107,1,61,66,0
190,0.00398107,1,64,70,0
200,0.00398107,1,65,76,0
210,0.00398107,1,64,83,0
220,0.00398107,1,58,94,0
230,0.00398107,1,53,103,0
170,0.00630957,1,57,62,0
180,0.00630957,1,60,67,0
190,0.00630957,1,62,72,0
200,0.00630957,1,63,78,0
210,0.00630957,1,60,86,0
220,0.00630957,1,56,96,0
230,0.00630957,1,52,104,0
